workload,cycles,cache-misses,instructions,cycle_activity.stalls_total,branch-misses,context-switches,iTLB-load-misses,IpCall,IpLoad,IpMispredict,BpTkBranch,MLP,SPEC_speed_score
500.perlbench_r,284518089772,1199750997,657135746530,55650444883,1313698905,1751,6996998,97.12,3.58,500.603,2.05,1.36,0.9290912759
500.perlbench_r,291287751955,1227855753,672901445403,56956540047,1345089386,1758,7157431,97.123,3.58,500.95,2.05,1.36,0.9290912759
500.perlbench_r,298059002639,1256435802,688670445334,58265743864,1376733036,1766,7317919,97.123,3.58,500.633,2.05,1.36,0.9290912759
500.perlbench_r,304818225367,1284676582,704581169271,59551616492,1408947988,1786,7471538,97.13,3.58,500.47,2.05,1.36,0.9290912759
500.perlbench_r,311569888391,1314063749,720327385431,60868235896,1440241199,1825,7647730,97.167,3.58,500.533,2.05,1.357,0.9290912759
500.perlbench_r,318326354262,1344005880,735951881808,62210145704,1471822506,1846,7819791,97.183,3.58,500.59,2.05,1.36,0.9290912759
500.perlbench_r,325084532195,1370455924,751976156376,63455626388,1503278744,1870,7963571,97.21,3.58,500.63,2.05,1.363,0.9290912759
500.perlbench_r,331854659196,1400800733,767672725342,64790434290,1535500991,1916,8135239,97.177,3.58,500.097,2.05,1.363,0.9290912759
500.perlbench_r,338619506692,1431080647,783340868647,66120952839,1567355596,1961,8303148,97.21,3.58,500.117,2.05,1.363,0.9290912759
500.perlbench_r,345349654208,1458577828,799258682109,67395414844,1598671550,2004,8460476,97.22,3.58,500.13,2.06,1.363,0.9290912759
500.perlbench_r,352094358566,1484138394,815355155394,68629809666,1630782602,2032,8603577,97.227,3.58,500.11,2.06,1.363,0.9290912759
500.perlbench_r,358826208168,1516261059,830550039356,70048651121,1662118406,2086,8783778,97.25,3.58,500.04,2.06,1.36,0.9290912759
500.perlbench_r,365586196896,1546244737,845939691232,71411876982,1693858412,2130,8957350,97.267,3.58,499.867,2.06,1.36,0.9290912759
500.perlbench_r,372353945993,1577212733,861421571659,72777337211,1725923555,2151,9130323,97.233,3.58,499.407,2.05,1.363,0.9290912759
